tt,frame,wheels,flat,climb,level
False,Felt AR,Zipp 454,3041.0,2939.0,34.0
False,Felt AR,DT Swiss ARC 1100 Dicut 62,3042.0,2937.0,34.0
False,Felt AR,CADEX 65,3042.5,2939.0,34.0
False,Felt AR,Zipp 404,3044.0,2942.0,34.0
False,Felt AR,ENVE SES 6.7,3045.0,2946.0,34.0
False,Felt AR,Zipp 353 NSW,3046.0,2939.0,34.0
False,Felt AR,Roval Rapide CLX,3047.0,2941.0,34.0
False,Felt AR,Roval CLX 64,3047.0,2946.0,34.0
False,Felt AR,ENVE SES 3.4,3049.5,2938.0,34.0
False,Felt AR,FFWD RYOT55,3050.5,2938.0,34.0
False,Felt AR,Campagnolo Bora Ultra 35,3051.0,2939.5,34.0
False,Felt AR,Mavic Comete Pro Carbon SL UST,3051.5,2956.5,34.0
False,Felt AR,Giant SLR 0,3054.0,2938.5,34.0
False,Felt AR,Shimano C60,3054.0,2957.0,34.0
False,Felt AR,Mavic Cosmic CXR60c,3055.5,2954.5,34.0
False,Felt AR,Bontrager Aeolus5,3058.0,2942.0,34.0
False,Felt AR,Mavic Cosmic Ultimate UST,3058.0,2952.0,34.0
False,Felt AR,HED Vanquish RC6 Pro,3060.5,2940.0,34.0
False,Felt AR,CADEX 42,3061.0,2940.0,34.0
False,Felt AR,Roval Alpinist CLX,3063.0,2932.0,34.0
False,Felt AR,Shimano C50,3063.0,2953.5,34.0
False,Felt AR,Lightweight Meilenstein,3063.5,2932.0,34.0
False,Felt AR,50mm Carbon,3064.5,2947.0,34.0
False,Felt AR,Shimano C40,3065.0,2949.5,34.0
False,Felt AR,CADEX 36,3070.5,2937.5,34.0
False,Felt AR,Zipp 202,3072.0,2940.5,34.0
False,Felt AR,Novatec R4,3073.5,2951.0,34.0
False,Felt AR,ENVE SES 2.2,3077.0,2939.5,34.0
False,Felt AR,Zwift 32mm Carbon,3077.0,2946.0,34.0
False,Felt AR,Campagnolo Bora Ultra 50,3077.5,2939.5,34.0
False,Felt AR,Zwift Safety,3077.5,2945.5,44.0
False,Felt AR,Zwift Buffalo Fahrrad,3082.0,2953.0,34.0
False,Felt AR,Zwift Classic,3083.0,2954.0,34.0
False,Specialized Venge S-Works,DT Swiss ARC 1100 Dicut Disc,3017.0,2955.0,42.0
False,Specialized Venge S-Works,Zipp 858/Super9,3024.0,2956.0,45.0
False,Specialized Venge S-Works,Zipp 808/Super9,3026.0,2957.0,35.0
False,Specialized Venge S-Works,Zipp 858,3030.0,2946.0,37.0
False,Specialized Venge S-Works,ENVE SES 7.8,3032.0,2941.0,39.0
False,Specialized Venge S-Works,Zipp 808,3033.0,2948.0,33.0
False,Specialized Venge S-Works,ENVE SES 8.9,3033.5,2950.5,33.0
False,Specialized Venge S-Works,Zipp 454,3041.0,2939.0,33.0
False,Specialized Venge S-Works,DT Swiss ARC 1100 Dicut 62,3042.0,2937.0,33.0
False,Specialized Venge S-Works,CADEX 65,3042.5,2939.0,33.0
False,Specialized Venge S-Works,Zipp 404,3044.0,2942.0,33.0
False,Specialized Venge S-Works,ENVE SES 6.7,3045.0,2946.0,33.0
False,Specialized Venge S-Works,Zipp 353 NSW,3046.0,2939.0,33.0
False,Specialized Venge S-Works,Roval Rapide CLX,3047.0,2941.0,33.0
False,Specialized Venge S-Works,Roval CLX 64,3047.0,2946.0,33.0
False,Specialized Venge S-Works,ENVE SES 3.4,3049.5,2938.0,33.0
False,Specialized Venge S-Works,FFWD RYOT55,3050.5,2938.0,33.0
False,Specialized Venge S-Works,Campagnolo Bora Ultra 35,3051.0,2939.5,33.0
False,Specialized Venge S-Works,Mavic Comete Pro Carbon SL UST,3051.5,2956.5,33.0
False,Specialized Venge S-Works,Giant SLR 0,3054.0,2938.5,33.0
False,Specialized Venge S-Works,Shimano C60,3054.0,2957.0,33.0
False,Specialized Venge S-Works,Mavic Cosmic CXR60c,3055.5,2954.5,33.0
False,Specialized Venge S-Works,Bontrager Aeolus5,3058.0,2942.0,33.0
False,Specialized Venge S-Works,Mavic Cosmic Ultimate UST,3058.0,2952.0,33.0
False,Specialized Venge S-Works,HED Vanquish RC6 Pro,3060.5,2940.0,33.0
False,Specialized Venge S-Works,CADEX 42,3061.0,2940.0,33.0
False,Specialized Venge S-Works,Roval Alpinist CLX,3063.0,2932.0,33.0
False,Specialized Venge S-Works,Shimano C50,3063.0,2953.5,33.0
False,Specialized Venge S-Works,Lightweight Meilenstein,3063.5,2932.0,33.0
False,Specialized Venge S-Works,50mm Carbon,3064.5,2947.0,33.0
False,Specialized Venge S-Works,Shimano C40,3065.0,2949.5,33.0
False,Specialized Venge S-Works,CADEX 36,3070.5,2937.5,33.0
False,Specialized Venge S-Works,Zipp 202,3072.0,2940.5,33.0
False,Specialized Venge S-Works,Novatec R4,3073.5,2951.0,33.0
False,Specialized Venge S-Works,ENVE SES 2.2,3077.0,2939.5,33.0
False,Specialized Venge S-Works,Zwift 32mm Carbon,3077.0,2946.0,33.0
False,Specialized Venge S-Works,Campagnolo Bora Ultra 50,3077.5,2939.5,33.0
False,Specialized Venge S-Works,Zwift Safety,3077.5,2945.5,44.0
False,Specialized Venge S-Works,Zwift Buffalo Fahrrad,3082.0,2953.0,33.0
False,Specialized Venge S-Works,Zwift Classic,3083.0,2954.0,33.0
False,Uranium Nuclear,DT Swiss ARC 1100 Dicut Disc,3017.0,2958.0,42.0
False,Uranium Nuclear,Zipp 858/Super9,3024.0,2959.0,45.0
False,Uranium Nuclear,Zipp 808/Super9,3026.0,2960.0,35.0
False,Uranium Nuclear,Zipp 858,3030.0,2949.0,37.0
False,Uranium Nuclear,ENVE SES 7.8,3032.0,2944.0,39.0
False,Uranium Nuclear,Zipp 808,3033.0,2951.0,19.0
False,Uranium Nuclear,ENVE SES 8.9,3033.5,2953.5,31.0
False,Uranium Nuclear,Zipp 454,3041.0,2942.0,24.0
False,Uranium Nuclear,DT Swiss ARC 1100 Dicut 62,3042.0,2940.0,19.0
False,Uranium Nuclear,CADEX 65,3042.5,2942.0,21.0
False,Uranium Nuclear,Zipp 404,3044.0,2945.0,19.0
False,Uranium Nuclear,ENVE SES 6.7,3045.0,2949.0,25.0
False,Uranium Nuclear,Zipp 353 NSW,3046.0,2942.0,19.0
False,Uranium Nuclear,Roval Rapide CLX,3047.0,2944.0,19.0
False,Uranium Nuclear,Roval CLX 64,3047.0,2949.0,19.0
False,Uranium Nuclear,ENVE SES 3.4,3049.5,2941.0,19.0
False,Uranium Nuclear,FFWD RYOT55,3050.5,2941.0,19.0
False,Uranium Nuclear,Campagnolo Bora Ultra 35,3051.0,2942.5,33.0
False,Uranium Nuclear,Mavic Comete Pro Carbon SL UST,3051.5,2959.5,19.0
False,Uranium Nuclear,Giant SLR 0,3054.0,2941.5,22.0
False,Uranium Nuclear,Shimano C60,3054.0,2960.0,19.0
False,Uranium Nuclear,Mavic Cosmic CXR60c,3055.5,2957.5,19.0
False,Uranium Nuclear,Bontrager Aeolus5,3058.0,2945.0,19.0
False,Uranium Nuclear,Mavic Cosmic Ultimate UST,3058.0,2955.0,19.0
False,Uranium Nuclear,HED Vanquish RC6 Pro,3060.5,2943.0,19.0
False,Uranium Nuclear,CADEX 42,3061.0,2943.0,19.0
False,Uranium Nuclear,Roval Alpinist CLX,3063.0,2935.0,32.0
False,Uranium Nuclear,Shimano C50,3063.0,2956.5,28.0
False,Uranium Nuclear,Lightweight Meilenstein,3063.5,2935.0,19.0
False,Uranium Nuclear,50mm Carbon,3064.5,2950.0,19.0
False,Uranium Nuclear,Shimano C40,3065.0,2952.5,19.0
False,Uranium Nuclear,CADEX 36,3070.5,2940.5,26.0
False,Uranium Nuclear,Zipp 202,3072.0,2943.5,19.0
False,Uranium Nuclear,Novatec R4,3073.5,2954.0,19.0
False,Uranium Nuclear,ENVE SES 2.2,3077.0,2942.5,19.0
False,Uranium Nuclear,Zwift 32mm Carbon,3077.0,2949.0,19.0
False,Uranium Nuclear,Campagnolo Bora Ultra 50,3077.5,2942.5,27.0
False,Uranium Nuclear,Zwift Safety,3077.5,2948.5,44.0
False,Uranium Nuclear,Zwift Buffalo Fahrrad,3082.0,2956.0,19.0
False,Uranium Nuclear,Zwift Classic,3083.0,2957.0,19.0
False,Canyon Aeroad 2021,DT Swiss ARC 1100 Dicut Disc,3019.0,2950.0,42.0
False,Canyon Aeroad 2021,Zipp 858/Super9,3026.0,2951.0,45.0
False,Canyon Aeroad 2021,Zipp 808/Super9,3028.0,2952.0,35.0
False,Canyon Aeroad 2021,Zipp 858,3032.0,2941.0,37.0
False,Canyon Aeroad 2021,ENVE SES 7.8,3034.0,2936.0,39.0
False,Canyon Aeroad 2021,Zipp 808,3035.0,2943.0,13.0
False,Canyon Aeroad 2021,ENVE SES 8.9,3035.5,2945.5,31.0
False,Canyon Aeroad 2021,Zipp 454,3043.0,2934.0,24.0
False,Canyon Aeroad 2021,DT Swiss ARC 1100 Dicut 62,3044.0,2932.0,10.0
False,Canyon Aeroad 2021,CADEX 65,3044.5,2934.0,21.0
False,Canyon Aeroad 2021,Zipp 404,3046.0,2937.0,15.0
False,Canyon Aeroad 2021,ENVE SES 6.7,3047.0,2941.0,25.0
False,Canyon Aeroad 2021,Zipp 353 NSW,3048.0,2934.0,19.0
False,Canyon Aeroad 2021,Roval Rapide CLX,3049.0,2936.0,10.0
False,Canyon Aeroad 2021,Roval CLX 64,3049.0,2941.0,10.0
False,Canyon Aeroad 2021,ENVE SES 3.4,3051.5,2933.0,10.0
False,Canyon Aeroad 2021,FFWD RYOT55,3052.5,2933.0,10.0
False,Canyon Aeroad 2021,Campagnolo Bora Ultra 35,3053.0,2934.5,33.0
False,Canyon Aeroad 2021,Mavic Comete Pro Carbon SL UST,3053.5,2951.5,10.0
False,Canyon Aeroad 2021,Giant SLR 0,3056.0,2933.5,22.0
False,Canyon Aeroad 2021,Shimano C60,3056.0,2952.0,10.0
False,Canyon Aeroad 2021,Mavic Cosmic CXR60c,3057.5,2949.5,10.0
False,Canyon Aeroad 2021,Bontrager Aeolus5,3060.0,2937.0,10.0
False,Canyon Aeroad 2021,Mavic Cosmic Ultimate UST,3060.0,2947.0,10.0
False,Canyon Aeroad 2021,HED Vanquish RC6 Pro,3062.5,2935.0,10.0
False,Canyon Aeroad 2021,CADEX 42,3063.0,2935.0,10.0
False,Canyon Aeroad 2021,Roval Alpinist CLX,3065.0,2927.0,32.0
False,Canyon Aeroad 2021,Shimano C50,3065.0,2948.5,28.0
False,Canyon Aeroad 2021,Lightweight Meilenstein,3065.5,2927.0,10.0
False,Canyon Aeroad 2021,50mm Carbon,3066.5,2942.0,10.0
False,Canyon Aeroad 2021,Shimano C40,3067.0,2944.5,10.0
False,Canyon Aeroad 2021,CADEX 36,3072.5,2932.5,26.0
False,Canyon Aeroad 2021,Zipp 202,3074.0,2935.5,10.0
False,Canyon Aeroad 2021,Novatec R4,3075.5,2946.0,10.0
False,Canyon Aeroad 2021,ENVE SES 2.2,3079.0,2934.5,10.0
False,Canyon Aeroad 2021,Zwift 32mm Carbon,3079.0,2941.0,10.0
False,Canyon Aeroad 2021,Campagnolo Bora Ultra 50,3079.5,2934.5,27.0
False,Canyon Aeroad 2021,Zwift Safety,3079.5,2940.5,44.0
False,Canyon Aeroad 2021,Zwift Buffalo Fahrrad,3084.0,2948.0,10.0
False,Canyon Aeroad 2021,Zwift Classic,3085.0,2949.0,10.0
False,Cervelo S5,DT Swiss ARC 1100 Dicut Disc,3019.0,2959.0,42.0
False,Cervelo S5,Zipp 858/Super9,3026.0,2960.0,45.0
False,Cervelo S5,Zipp 808/Super9,3028.0,2961.0,35.0
False,Cervelo S5,Zipp 858,3032.0,2950.0,37.0
False,Cervelo S5,ENVE SES 7.8,3034.0,2945.0,39.0
False,Cervelo S5,Zipp 808,3035.0,2952.0,25.0
False,Cervelo S5,ENVE SES 8.9,3035.5,2954.5,31.0
False,Cervelo S5,Zipp 454,3043.0,2943.0,25.0
False,Cervelo S5,DT Swiss ARC 1100 Dicut 62,3044.0,2941.0,25.0
False,Cervelo S5,CADEX 65,3044.5,2943.0,25.0
False,Cervelo S5,Zipp 404,3046.0,2946.0,25.0
False,Cervelo S5,ENVE SES 6.7,3047.0,2950.0,25.0
False,Cervelo S5,Zipp 353 NSW,3048.0,2943.0,25.0
False,Cervelo S5,Roval Rapide CLX,3049.0,2945.0,25.0
False,Cervelo S5,Roval CLX 64,3049.0,2950.0,25.0
False,Cervelo S5,ENVE SES 3.4,3051.5,2942.0,25.0
False,Cervelo S5,FFWD RYOT55,3052.5,2942.0,25.0
False,Cervelo S5,Campagnolo Bora Ultra 35,3053.0,2943.5,33.0
False,Cervelo S5,Mavic Comete Pro Carbon SL UST,3053.5,2960.5,25.0
False,Cervelo S5,Giant SLR 0,3056.0,2942.5,25.0
False,Cervelo S5,Shimano C60,3056.0,2961.0,25.0
False,Cervelo S5,Mavic Cosmic CXR60c,3057.5,2958.5,25.0
False,Cervelo S5,Bontrager Aeolus5,3060.0,2946.0,25.0
False,Cervelo S5,Mavic Cosmic Ultimate UST,3060.0,2956.0,25.0
False,Cervelo S5,HED Vanquish RC6 Pro,3062.5,2944.0,25.0
False,Cervelo S5,CADEX 42,3063.0,2944.0,25.0
False,Cervelo S5,Roval Alpinist CLX,3065.0,2936.0,32.0
False,Cervelo S5,Shimano C50,3065.0,2957.5,28.0
False,Cervelo S5,Lightweight Meilenstein,3065.5,2936.0,25.0
False,Cervelo S5,50mm Carbon,3066.5,2951.0,25.0
False,Cervelo S5,Shimano C40,3067.0,2953.5,25.0
False,Cervelo S5,CADEX 36,3072.5,2941.5,26.0
False,Cervelo S5,Zipp 202,3074.0,2944.5,25.0
False,Cervelo S5,Novatec R4,3075.5,2955.0,25.0
False,Cervelo S5,ENVE SES 2.2,3079.0,2943.5,25.0
False,Cervelo S5,Zwift 32mm Carbon,3079.0,2950.0,25.0
False,Cervelo S5,Campagnolo Bora Ultra 50,3079.5,2943.5,27.0
False,Cervelo S5,Zwift Safety,3079.5,2949.5,44.0
False,Cervelo S5,Zwift Buffalo Fahrrad,3084.0,2957.0,25.0
False,Cervelo S5,Zwift Classic,3085.0,2958.0,25.0
False,Trek Madone,DT Swiss ARC 1100 Dicut Disc,3019.0,2961.0,42.0
False,Trek Madone,Zipp 858/Super9,3026.0,2962.0,45.0
False,Trek Madone,Zipp 808/Super9,3028.0,2963.0,35.0
False,Trek Madone,Zipp 858,3032.0,2952.0,37.0
False,Trek Madone,ENVE SES 7.8,3034.0,2947.0,39.0
False,Trek Madone,Zipp 808,3035.0,2954.0,20.0
False,Trek Madone,ENVE SES 8.9,3035.5,2956.5,31.0
False,Trek Madone,Zipp 454,3043.0,2945.0,24.0
False,Trek Madone,DT Swiss ARC 1100 Dicut 62,3044.0,2943.0,20.0
False,Trek Madone,CADEX 65,3044.5,2945.0,21.0
False,Trek Madone,Zipp 404,3046.0,2948.0,20.0
False,Trek Madone,ENVE SES 6.7,3047.0,2952.0,25.0
False,Trek Madone,Zipp 353 NSW,3048.0,2945.0,20.0
False,Trek Madone,Roval Rapide CLX,3049.0,2947.0,20.0
False,Trek Madone,Roval CLX 64,3049.0,2952.0,20.0
False,Trek Madone,ENVE SES 3.4,3051.5,2944.0,20.0
False,Trek Madone,FFWD RYOT55,3052.5,2944.0,20.0
False,Trek Madone,Campagnolo Bora Ultra 35,3053.0,2945.5,33.0
False,Trek Madone,Mavic Comete Pro Carbon SL UST,3053.5,2962.5,20.0
False,Trek Madone,Giant SLR 0,3056.0,2944.5,22.0
False,Trek Madone,Shimano C60,3056.0,2963.0,20.0
False,Trek Madone,Mavic Cosmic CXR60c,3057.5,2960.5,20.0
False,Trek Madone,Bontrager Aeolus5,3060.0,2948.0,20.0
False,Trek Madone,Mavic Cosmic Ultimate UST,3060.0,2958.0,20.0
False,Trek Madone,HED Vanquish RC6 Pro,3062.5,2946.0,20.0
False,Trek Madone,CADEX 42,3063.0,2946.0,20.0
False,Trek Madone,Roval Alpinist CLX,3065.0,2938.0,32.0
False,Trek Madone,Shimano C50,3065.0,2959.5,28.0
False,Trek Madone,Lightweight Meilenstein,3065.5,2938.0,20.0
False,Trek Madone,50mm Carbon,3066.5,2953.0,20.0
False,Trek Madone,Shimano C40,3067.0,2955.5,20.0
False,Trek Madone,CADEX 36,3072.5,2943.5,26.0
False,Trek Madone,Zipp 202,3074.0,2946.5,20.0
False,Trek Madone,Novatec R4,3075.5,2957.0,20.0
False,Trek Madone,ENVE SES 2.2,3079.0,2945.5,20.0
False,Trek Madone,Zwift 32mm Carbon,3079.0,2952.0,20.0
False,Trek Madone,Campagnolo Bora Ultra 50,3079.5,2945.5,27.0
False,Trek Madone,Zwift Safety,3079.5,2951.5,44.0
False,Trek Madone,Zwift Buffalo Fahrrad,3084.0,2959.0,20.0
False,Trek Madone,Zwift Classic,3085.0,2960.0,20.0
False,Cannondale SystemSix,DT Swiss ARC 1100 Dicut Disc,3020.0,2973.5,42.0
False,Cannondale SystemSix,Zipp 858/Super9,3027.0,2974.5,45.0
False,Cannondale SystemSix,Zipp 808/Super9,3029.0,2975.5,35.0
False,Cannondale SystemSix,Zipp 858,3033.0,2964.5,37.0
False,Cannondale SystemSix,ENVE SES 7.8,3035.0,2959.5,39.0
False,Cannondale SystemSix,Zipp 808,3036.0,2966.5,13.0
False,Cannondale SystemSix,ENVE SES 8.9,3036.5,2969.0,31.0
False,Cannondale SystemSix,Zipp 454,3044.0,2957.5,24.0
False,Cannondale SystemSix,DT Swiss ARC 1100 Dicut 62,3045.0,2955.5,6.0
False,Cannondale SystemSix,CADEX 65,3045.5,2957.5,21.0
False,Cannondale SystemSix,Zipp 404,3047.0,2960.5,15.0
False,Cannondale SystemSix,ENVE SES 6.7,3048.0,2964.5,25.0
False,Cannondale SystemSix,Zipp 353 NSW,3049.0,2957.5,19.0
False,Cannondale SystemSix,Roval Rapide CLX,3050.0,2959.5,
False,Cannondale SystemSix,Roval CLX 64,3050.0,2964.5,5.0
False,Cannondale SystemSix,ENVE SES 3.4,3052.5,2956.5,4.0
False,Cannondale SystemSix,FFWD RYOT55,3053.5,2956.5,
False,Cannondale SystemSix,Campagnolo Bora Ultra 35,3054.0,2958.0,33.0
False,Cannondale SystemSix,Mavic Comete Pro Carbon SL UST,3054.5,2975.0,
False,Cannondale SystemSix,Giant SLR 0,3057.0,2957.0,22.0
False,Cannondale SystemSix,Shimano C60,3057.0,2975.5,
False,Cannondale SystemSix,Mavic Cosmic CXR60c,3058.5,2973.0,
False,Cannondale SystemSix,Bontrager Aeolus5,3061.0,2960.5,
False,Cannondale SystemSix,Mavic Cosmic Ultimate UST,3061.0,2970.5,
False,Cannondale SystemSix,HED Vanquish RC6 Pro,3063.5,2958.5,
False,Cannondale SystemSix,CADEX 42,3064.0,2958.5,8.0
False,Cannondale SystemSix,Roval Alpinist CLX,3066.0,2950.5,32.0
False,Cannondale SystemSix,Shimano C50,3066.0,2972.0,28.0
False,Cannondale SystemSix,Lightweight Meilenstein,3066.5,2950.5,
False,Cannondale SystemSix,50mm Carbon,3067.5,2965.5,
False,Cannondale SystemSix,Shimano C40,3068.0,2968.0,
False,Cannondale SystemSix,CADEX 36,3073.5,2956.0,26.0
False,Cannondale SystemSix,Zipp 202,3075.0,2959.0,
False,Cannondale SystemSix,Novatec R4,3076.5,2969.5,
False,Cannondale SystemSix,ENVE SES 2.2,3080.0,2958.0,
False,Cannondale SystemSix,Zwift 32mm Carbon,3080.0,2964.5,
False,Cannondale SystemSix,Campagnolo Bora Ultra 50,3080.5,2958.0,27.0
False,Cannondale SystemSix,Zwift Safety,3080.5,2964.0,44.0
False,Cannondale SystemSix,Zwift Buffalo Fahrrad,3085.0,2971.5,
False,Cannondale SystemSix,Zwift Classic,3086.0,2972.5,
False,Chapter2 TOA,DT Swiss ARC 1100 Dicut Disc,3020.0,2952.0,42.0
False,Chapter2 TOA,Zipp 858/Super9,3027.0,2953.0,45.0
False,Chapter2 TOA,Zipp 808/Super9,3029.0,2954.0,35.0
False,Chapter2 TOA,Zipp 858,3033.0,2943.0,37.0
False,Chapter2 TOA,ENVE SES 7.8,3035.0,2938.0,39.0
False,Chapter2 TOA,Zipp 808,3036.0,2945.0,18.0
False,Chapter2 TOA,ENVE SES 8.9,3036.5,2947.5,31.0
False,Chapter2 TOA,Zipp 454,3044.0,2936.0,24.0
False,Chapter2 TOA,DT Swiss ARC 1100 Dicut 62,3045.0,2934.0,18.0
False,Chapter2 TOA,CADEX 65,3045.5,2936.0,21.0
False,Chapter2 TOA,Zipp 404,3047.0,2939.0,18.0
False,Chapter2 TOA,ENVE SES 6.7,3048.0,2943.0,25.0
False,Chapter2 TOA,Zipp 353 NSW,3049.0,2936.0,19.0
False,Chapter2 TOA,Roval Rapide CLX,3050.0,2938.0,18.0
False,Chapter2 TOA,Roval CLX 64,3050.0,2943.0,18.0
False,Chapter2 TOA,ENVE SES 3.4,3052.5,2935.0,18.0
False,Chapter2 TOA,FFWD RYOT55,3053.5,2935.0,18.0
False,Chapter2 TOA,Campagnolo Bora Ultra 35,3054.0,2936.5,33.0
False,Chapter2 TOA,Mavic Comete Pro Carbon SL UST,3054.5,2953.5,18.0
False,Chapter2 TOA,Giant SLR 0,3057.0,2935.5,22.0
False,Chapter2 TOA,Shimano C60,3057.0,2954.0,18.0
False,Chapter2 TOA,Mavic Cosmic CXR60c,3058.5,2951.5,18.0
False,Chapter2 TOA,Bontrager Aeolus5,3061.0,2939.0,18.0
False,Chapter2 TOA,Mavic Cosmic Ultimate UST,3061.0,2949.0,18.0
False,Chapter2 TOA,HED Vanquish RC6 Pro,3063.5,2937.0,18.0
False,Chapter2 TOA,CADEX 42,3064.0,2937.0,18.0
False,Chapter2 TOA,Roval Alpinist CLX,3066.0,2929.0,32.0
False,Chapter2 TOA,Shimano C50,3066.0,2950.5,28.0
False,Chapter2 TOA,Lightweight Meilenstein,3066.5,2929.0,18.0
False,Chapter2 TOA,50mm Carbon,3067.5,2944.0,18.0
False,Chapter2 TOA,Shimano C40,3068.0,2946.5,18.0
False,Chapter2 TOA,CADEX 36,3073.5,2934.5,26.0
False,Chapter2 TOA,Zipp 202,3075.0,2937.5,18.0
False,Chapter2 TOA,Novatec R4,3076.5,2948.0,18.0
False,Chapter2 TOA,ENVE SES 2.2,3080.0,2936.5,18.0
False,Chapter2 TOA,Zwift 32mm Carbon,3080.0,2943.0,18.0
False,Chapter2 TOA,Campagnolo Bora Ultra 50,3080.5,2936.5,27.0
False,Chapter2 TOA,Zwift Safety,3080.5,2942.5,44.0
False,Chapter2 TOA,Zwift Buffalo Fahrrad,3085.0,2950.0,18.0
False,Chapter2 TOA,Zwift Classic,3086.0,2951.0,18.0
False,Pinarello Dogma F,DT Swiss ARC 1100 Dicut Disc,3020.0,2948.0,42.0
False,Pinarello Dogma F,Zipp 858/Super9,3027.0,2949.0,45.0
False,Pinarello Dogma F,Zipp 808/Super9,3029.0,2950.0,35.0
False,Pinarello Dogma F,Zipp 858,3033.0,2939.0,37.0
False,Pinarello Dogma F,ENVE SES 7.8,3035.0,2934.0,39.0
False,Pinarello Dogma F,Zipp 808,3036.0,2941.0,32.0
False,Pinarello Dogma F,ENVE SES 8.9,3036.5,2943.5,32.0
False,Pinarello Dogma F,Zipp 454,3044.0,2932.0,32.0
False,Pinarello Dogma F,DT Swiss ARC 1100 Dicut 62,3045.0,2930.0,32.0
False,Pinarello Dogma F,CADEX 65,3045.5,2932.0,32.0
False,Pinarello Dogma F,Zipp 404,3047.0,2935.0,32.0
False,Pinarello Dogma F,ENVE SES 6.7,3048.0,2939.0,32.0
False,Pinarello Dogma F,Zipp 353 NSW,3049.0,2932.0,32.0
False,Pinarello Dogma F,Roval Rapide CLX,3050.0,2934.0,32.0
False,Pinarello Dogma F,Roval CLX 64,3050.0,2939.0,32.0
False,Pinarello Dogma F,ENVE SES 3.4,3052.5,2931.0,32.0
False,Pinarello Dogma F,FFWD RYOT55,3053.5,2931.0,32.0
False,Pinarello Dogma F,Campagnolo Bora Ultra 35,3054.0,2932.5,33.0
False,Pinarello Dogma F,Mavic Comete Pro Carbon SL UST,3054.5,2949.5,32.0
False,Pinarello Dogma F,Giant SLR 0,3057.0,2931.5,32.0
